ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a State based table with the following filters applied: State(s) (All Years): All 50 + DC

State Name,Grade 12 Dropouts [state] 2023-24,Grade 11 Dropouts [state] 2023-24,Grade 10 Dropouts [state] 2023-24,Grade 9 Dropouts [state] 2023-24,Grade 8 Dropouts [state] 2023-24,Grade 7 Dropouts [state] 2023-24,Pupil/Teacher Ratio [State] 2023-24,Pupil/Teacher Ratio [State] 2022-23,Pupil/Teacher Ratio [State] 2018-19,Total Enrollment (Exclude AE) for SY 2014-15 onward [State] 2023-24,Total Enrollment (Exclude AE) for SY 2014-15 onward [State] 2022-23,Total Enrollment (Exclude AE) for SY 2014-15 onward [State] 2018-19,Grade 7 Dropouts [state] 2022-23,Grade 7 Dropouts [State] 2018-19,Grade 8 Dropouts [state] 2022-23,Grade 8 Dropouts [State] 2018-19,Grade 9 Dropouts [state] 2022-23,Grade 9 Dropouts [State] 2018-19,Grade 10 Dropouts [state] 2022-23,Grade 10 Dropouts [State] 2018-19,Grade 11 Dropouts [state] 2022-23,Grade 11 Dropouts [State] 2018-19,Grade 12 Dropouts [state] 2022-23,Grade 12 Dropouts [State] 2018-19,Secondary Teachers [State] 2023-24,Secondary Teachers [State] 2022-23,Secondary Teachers [State] 2018-19
ALABAMA,706,631,632,646,176,142,17.47,17.87,17.56,748650,750923,739716,187,253,175,217,850,679,881,817,909,1047,1126,1044,20188.71,19046.64,19690.76
ALASKA,655,476,341,320,172,150,18.17,18.26,17.10,131243,130723,130963,148,69,159,81,293,200,330,311,480,471,695,598,3673.47,3484.14,3666.91
ARIZONA,6462,2698,2125,2170,3381,1583,22.69,22.84,23.53,1117630,1132223,1141511,1719,2357,3459,3763,2288,2553,2293,2003,3008,2628,7954,6655,15996.72,15491.46,14795.56
ARKANSAS,945,1179,1185,1027,404,360,12.51,12.70,13.03,484978,493130,495291,378,284,417,297,847,630,1072,788,1251,1073,1099,1222,16388.28,16001.82,18229.83
CALIFORNIA,18621,7735,13965,17888,2572,3144,21.77,21.86,23.08,5837338,5851877,6272734,3698,3221,2832,2191,16210,9181,13911,8563,8708,9989,21538,23161,91540.17,91897.84,87079.49
COLORADO,4699,1918,1069,872,235,208,16.10,16.26,17.15,865661,870871,911536,199,247,285,249,921,911,1204,1142,1974,2011,5215,4766,24121.87,23917.18,23306.77
CONNECTICUT,590,495,469,278,37,14,11.89,11.67,12.30,512652,513513,526634,21,7,27,17,467,373,674,475,634,526,744,628,15778.56,15927.39,15421.32
DELAWARE,94,281,327,355,153,96,14.31,14.16,14.38,141842,141465,138405,123,32,133,65,600,208,519,216,351,160,286,116,4943.65,5030.41,4704.40
DISTRICT OF COLUMBIA,454,477,1097,679,216,244,11.13,11.30,12.10,92794,91001,88493,348,229,295,168,590,435,1056,851,468,449,475,596,3013.10,3113.42,2701.89
FLORIDA,3683,2672,2909,2696,3072,2044,18.44,18.31,17.31,2872335,2870527,2846444,1870,1386,2707,2062,2787,2588,2949,2930,3086,3285,5120,5489,62687.11,62874.37,64856.20
GEORGIA,2114,3552,4808,4907,1420,1407,14.15,14.43,15.08,1749701,1750972,1767202,1350,1191,1509,1324,5467,5146,5361,5310,3963,4333,2803,3545,48676.90,47852.70,45885.90
HAWAII,342,409,535,506,369,342,13.98,14.20,14.94,169308,170209,181278,302,298,243,253,528,461,513,476,361,412,336,341,5665.41,5613.50,5477.30
IDAHO,1616,1328,1134,996,655,639,17.61,17.52,18.54,316414,317555,310522,717,598,701,550,1049,811,1281,1043,1524,1275,1871,2087,7888.39,8425.46,7556.39
